Player,PTS,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
T5_Pathompong,29.85,12,4,5,0.8,0.4,0.5,5,0.8,1685.1,147.4,1287.8,0,140.4,3386,282.2,1413.7,1933.2,0.9,2,4,1,1,5,9,3,3,158.1,0,1,40,2,13,181.9,4,0,2,58,69,11,33,22,7,1,0,10.5,77.8,16153,1346,40,2254.7,53,1
T1_Rain1ng,19.06,12,7,5,1,0.6,0.5,7,1,1405.7,526.2,648.8,0,117.1,2565.7,213.8,123.2,2326.1,0.6,0,4,1,5,2,12,2,1,498.4,0,2,31,2,15,230.6,8,2,2,0,47,2,30,28,4,7,0,8.7,42,12038,1003,24,1345.7,27,2
BGP_Seongjang,23.68,12,5,8,1.1,0.4,0.5,7,0.7,1367.8,429.1,747.5,0,114,2848.2,237.3,655,2132.3,0.6,2,3,3,3,3,10,1,1,208.2,0,3,55,8,23,139.2,14,3,3,0,65,2,40,35,4,9,0,12.3,43.6,15177,1264,25,1638.2,60,5
GK_HIRUZEN,22.27,12,6,7,1.1,0.5,0.6,3,2,1027.3,381,526.6,0,85.6,2961.1,246.8,1129.6,1745.5,0.6,1,2,5,0,5,8,1,2,76.3,1,0,38,10,6,100,6,0,1,66,56,3,20,23,2,2,0.1,12,51,14848,1237,32,1751.1,41,1
GEN_Americano,16.33,12,4,5,0.8,0.3,0.6,4,1,1132.7,380.6,752.1,0,94.4,2841.5,236.8,583.6,2082.5,0.5,1,5,0,5,2,11,1,1,168,0,1,29,4,12,12.1,10,1,3,0,44,4,20,30,3,2,0,11.4,52.1,14626,1218,33,1631.5,37,1
ROC_soldzzzz,26.51,12,6,3,0.8,0.5,0.4,10,0.6,1450.9,844.3,577.8,0,120.9,2032.3,169.4,175.2,1801.1,0.8,3,4,2,2,4,9,1,2,227.9,0,1,32,4,15,28.9,10,2,0,0,31,0,12,25,0,2,0,10.1,54.1,13117,1093,17,822.3,35,1
ROC_sxntastico,18.8,12,5,4,0.8,0.4,0.5,8,0.6,1180.3,639.2,365,0,98.4,3042.8,253.6,1390,1580.9,0.7,0,3,2,3,4,10,2,0,178.2,1,1,26,4,12,135.3,9,0,5,72.6,30,5,7,17,2,2,0,10.5,46.6,11867,988,33,1822.8,65,5
DN_Hela,27.02,12,5,5,0.9,0.5,0.3,8,0.6,1501.6,702,759.4,0,125.1,2305.1,192.1,180,2118,0.7,2,0,3,2,6,7,2,0,167.5,0,1,29,4,6,40.2,3,0,0,0,34,1,14,34,5,2,0,10.3,57.6,12604,1050,28,1160.1,31,1
DN_wonderful,18.91,12,5,3,0.7,0.4,0.5,6,0.8,1190.8,667.3,448.5,0,99.2,2228.5,185.7,113,1964,0.6,1,2,3,5,2,11,1,4,224.9,0,0,26,0,9,75,4,0,1,0,44,4,18,20,4,3,0,10.5,56.9,12334,1027,12,1018.5,32,2
PeRo_Cui71,22.58,12,5,3,0.7,0.5,0.4,7,0.7,1058,398.8,360.1,0,88.2,2317.6,193.1,265.6,1937.5,0.5,1,4,1,4,2,11,2,1,89.9,0,0,32,2,7,127.7,6,1,0,0,44,5,15,23,7,1,0,13.5,42.1,14231,1185,26,1197.6,40,0
ROC_rbN777,18.52,12,5,2,0.6,0.4,0.4,7,0.7,1152,501.8,346.3,0,96,2341.4,195.1,516.2,1669.2,0.7,0,2,3,4,3,11,2,0,268.1,0,0,41,4,18,236,6,0,0,0,40,2,20,20,1,3,0,11.1,48,13260,1105,28,1121.4,37,2
4AM_Godv,24.91,12,8,1,0.8,0.7,0.3,7,1.1,1191.5,331.3,623.2,0,99.3,2789.6,232.5,198.6,2573.9,0.5,2,4,4,0,4,16,8,2,180.3,1,0,34,4,12,58,12,0,0,0,47,7,18,18,0,1,0,15.4,45.5,14110,1175,24,1509.6,34,0
VP_Beami,16.96,12,2,6,0.7,0.2,0.3,6,0.3,1296.4,693.9,413.5,68.3,108,5209.6,434.1,3524.7,1684.8,0.8,1,2,2,3,5,11,4,1,183.7,0,1,32,4,5,120.7,2,0,0,0,39,6,8,7,4,0,0,9.4,67.7,13480,1123,77,3969.3,29,0
VP_Lukarux,18.22,12,4,1,0.4,0.3,0.3,4,1,1321.8,761.2,482.6,0,110.2,2879.8,240,855.2,2011.9,0.7,0,2,3,4,3,10,1,0,185.9,1,0,30,0,11,78,5,0,1,0,61,13,26,32,2,0,0,9.8,67.7,12732,1061,35,1668.6,44,2
PeRo_Nannnnn,19.82,12,4,1,0.5,0.4,0.3,2,2,982,433.1,471.6,0,81.8,1937.7,161.5,152,1763.9,0.6,1,3,7,0,1,11,1,1,486.1,1,0,14,1,5,91.4,4,0,1,0,35,2,16,15,0,2,0,11.2,38.5,13396,1116,16,827.7,26,0
BST_SzylzEN,9.76,12,2,2,0.3,0.2,0.3,4,0.5,876.3,310.3,508,0,73,1936.1,161.3,91.2,1698.1,0.5,2,2,3,7,0,12,0,0,77.6,0,1,32,0,15,142.4,4,1,1,0,42,7,22,25,2,3,0,12.7,43.7,15186,1265,9,736.1,49,1
VP_ibiza,11.89,12,3,1,0.3,0.3,0.3,1,3,589.3,357,194,0,49.1,5290,440.8,3220.7,2065.1,0.3,6,4,4,2,2,10,0,0,27.9,1,1,37,5,10,38.4,7,3,0,0,62,11,25,26,3,9,0,11.6,77.5,14034,1169,98,4089.6,48,0
